0 [0.00e+00, 1.00e+00]
100 [-4.85e-02, 1.03e+00]
200 [-7.82e-02, 1.03e+00]
300 [-3.61e-02, 9.64e-01]
400 [1.23e-02, 8.96e-01]
500 [4.40e-02, 8.51e-01]
600 [6.87e-02, 8.16e-01]
700 [9.01e-02, 7.85e-01]
800 [1.08e-01, 7.58e-01]
900 [1.23e-01, 7.35e-01]
1000 [1.34e-01, 7.16e-01]
1100 [1.43e-01, 6.98e-01]
1200 [1.50e-01, 6.83e-01]
1300 [1.56e-01, 6.68e-01]
1400 [1.60e-01, 6.55e-01]
1500 [1.63e-01, 6.44e-01]
1600 [1.66e-01, 6.33e-01]
1700 [1.68e-01, 6.23e-01]
1800 [1.69e-01, 6.13e-01]
1900 [1.70e-01, 6.04e-01]
2000 [1.71e-01, 5.95e-01]
2100 [1.71e-01, 5.87e-01]
2200 [1.71e-01, 5.79e-01]
2300 [1.71e-01, 5.71e-01]
2400 [1.71e-01, 5.64e-01]
2500 [1.70e-01, 5.56e-01]
2600 [1.70e-01, 5.49e-01]
2700 [1.69e-01, 5.41e-01]
2800 [1.68e-01, 5.34e-01]
2900 [1.67e-01, 5.27e-01]
3000 [1.66e-01, 5.20e-01]
3100 [1.64e-01, 5.13e-01]
3200 [1.63e-01, 5.07e-01]
3300 [1.62e-01, 5.01e-01]
3400 [1.60e-01, 4.94e-01]
3500 [1.59e-01, 4.88e-01]
3600 [1.57e-01, 4.81e-01]
3700 [1.55e-01, 4.75e-01]
3800 [1.54e-01, 4.69e-01]
3900 [1.52e-01, 4.63e-01]
4000 [1.50e-01, 4.57e-01]
4100 [1.48e-01, 4.51e-01]
4200 [1.46e-01, 4.45e-01]
4300 [1.44e-01, 4.40e-01]
4400 [1.42e-01, 4.34e-01]
4500 [1.40e-01, 4.28e-01]
4600 [1.38e-01, 4.23e-01]
4700 [1.36e-01, 4.17e-01]
4800 [1.34e-01, 4.12e-01]
4900 [1.32e-01, 4.07e-01]
5000 [1.30e-01, 4.01e-01]
5100 [1.27e-01, 3.96e-01]
5200 [1.25e-01, 3.91e-01]
5300 [1.23e-01, 3.86e-01]
5400 [1.21e-01, 3.81e-01]
5500 [1.18e-01, 3.75e-01]
5600 [1.16e-01, 3.70e-01]
5700 [1.14e-01, 3.65e-01]
5800 [1.11e-01, 3.61e-01]
5900 [1.09e-01, 3.56e-01]
6000 [1.06e-01, 3.51e-01]
6100 [1.04e-01, 3.46e-01]
6200 [1.02e-01, 3.41e-01]
6300 [9.91e-02, 3.37e-01]
6400 [9.65e-02, 3.32e-01]
6500 [9.41e-02, 3.27e-01]
6600 [9.15e-02, 3.23e-01]
6700 [8.90e-02, 3.19e-01]
6800 [8.64e-02, 3.14e-01]
6900 [8.39e-02, 3.10e-01]
7000 [8.14e-02, 3.05e-01]
7100 [7.88e-02, 3.01e-01]
7200 [7.62e-02, 2.97e-01]
7300 [7.36e-02, 2.92e-01]
7400 [7.10e-02, 2.88e-01]
7500 [6.83e-02, 2.84e-01]
7600 [6.57e-02, 2.80e-01]
7700 [6.30e-02, 2.75e-01]
7800 [6.03e-02, 2.71e-01]
7900 [5.76e-02, 2.67e-01]
8000 [5.49e-02, 2.63e-01]
8100 [5.23e-02, 2.59e-01]
8200 [4.96e-02, 2.55e-01]
8300 [4.67e-02, 2.51e-01]
8400 [4.41e-02, 2.47e-01]
8500 [4.14e-02, 2.43e-01]
8600 [3.87e-02, 2.39e-01]
8700 [3.58e-02, 2.36e-01]
8800 [3.31e-02, 2.32e-01]
8900 [3.04e-02, 2.28e-01]
9000 [2.75e-02, 2.24e-01]
9100 [2.48e-02, 2.20e-01]
9200 [2.19e-02, 2.17e-01]
9300 [1.91e-02, 2.13e-01]
9400 [1.63e-02, 2.09e-01]
9500 [1.35e-02, 2.06e-01]
9600 [1.06e-02, 2.02e-01]
9700 [7.85e-03, 1.99e-01]
9800 [4.98e-03, 1.95e-01]
